title,studio,domestic_gross,foreign_gross,year,matched_title,similarity
Salt of this Sea 2010,Lorb.,11700.0,545000,2010,All to the Sea 2010,80
Undertow (2010) 2010,TFC,109000.0,393000,2010,Undertow 2018,73
Father of My Children 2010,IFC,144000.0,335000,2010,Land of My Children 2018,80
The Greatest (2010) 2010,Pala.,115000.0,359000,2010,The Greatest Gift 2.0 2012,80
The Extra Man 2010,Magn.,453000.0,4500,2010,The Extra Man 2010,100
Tiny Furniture 2010,IFC,392000.0,,2010,Tiny Furniture 2010,100
Dogtooth 2010,Kino,110000.0,274000,2010,Dogmouth 2014,77
Grease (Sing-a-Long re-issue) 2010,Par.,366000.0,,2010,Dreams in Another Language 2010,62
The Tempest 2010,Mira.,278000.0,68700,2010,The Tempest 2010,100
The Good Heart 2010,Magn.,20900.0,323000,2010,The Good Herbs 2010,89
Formosa Betrayed 2010,Scre.,225000.0,101000,2010,Betrayed 2010,76
Red Hill 2010,Strand,21100.0,300000,2010,Red Hill 2010,100
Welcome to the Rileys 2010,Gold.,159000.0,158000,2010,Welcome to the Rileys 2010,100
"A Woman, A Gun and A Noodle Shop 2010",SPC,191000.0,121000,2010,A woman with a thousand faces 2015,65
The Girl on the Train 2010,Strand,208000.0,97100,2010,The Girl on the Train 2013,96
Mesrine: Public Enemy No. 1 2010,MBox,275000.0,28100,2010,Never Forget: Public Memory & 9/11 2014,65
44 Inch Chest 2010,Imag.,39000.0,255000,2010,34 Inches 2017,75
Karthik Calling Karthik 2010,Eros,286000.0,7100,2010,Karthik Calling Karthik 2010,100
Last Train Home 2010,Zeit.,288000.0,,2010,Last Ship Home 2018,77
Eyes Wide Open 2010,NAV,26300.0,250000,2010,Eyes Wide Open 2010,100
Waste Land 2010,Arth.,188000.0,88700,2010,Waste Land 2010,100
South of the Border 2010,CLS,199000.0,70800,2010,South of the River 2017,85
Human Centipede 2010,IFC,181000.0,70700,2010,Human Apprentice 2015,73
"Lovely, Still 2010",Mont.,128000.0,106000,2010,Love Still 2012,85
The Girl (Flickan) 2010,Olive,2200.0,229000,2010,The Girl on Line.Com 2017,75
Sweetgrass 2010,CGld,207000.0,,2010,Sweet Dreams 2010,81
Bitch Slap 2010,Free,17400.0,182000,2010,Witch Way 2010,76
Chance Pe Dance 2010,UTV,169000.0,24300,2010,Chance Pe Dance 2010,100
Client 9: The Rise and Fall of Eliot Spitzer 2010,Magn.,189000.0,3500,2010,Client 9: The Rise and Fall of Eliot Spitzer 2010,100
Casino Jack and the United States of Money 2010,Magn.,177000.0,,2010,Casino Jack and the United States of Money 2010,100
Perrier's Bounty 2010,IFC,800.0,167000,2010,Winter's Bone 2010,72
Around a Small Mountain 2010,CGld,33200.0,131000,2010,Qandil Mountains 2010,73
Spring Fever 2010,Strand,10800.0,150000,2010,Spring Fever 2019,94
The Eclipse 2010,Magn.,133000.0,26400,2010,The Lips 2010,90
George A. Romero's Survival of the Dead 2010,Magn.,102000.0,41500,2010,Rape Zombie: Lust of the Dead 2012,64
The Romantics 2010,FOAK,107000.0,17300,2010,The Romantics 2010,100
Celine: Through the Eyes of the World 2010,Sony,,119000,2010,Celine: Through the Eyes of the World 2010,100
Freakonomics 2010,Magn.,101000.0,16400,2010,Freakonomics 2010,100
Saint John of Las Vegas 2010,IVP,103000.0,9100,2010,Road to Las Vegas 2010,72
Band Baaja Baaraat 2010,Yash,43800.0,60700,2010,Band Baaja Baaraat 2010,100
White Lion 2010,Scre.,,99600,2010,White Lion 2010,100
Kisses 2010,Osci.,81700.0,15300,2010,Kisses 2011,91
Waking Sleeping Beauty 2010,BV,80700.0,4200,2010,Sleeping Beauty 2011,81
Enemies of the People 2010,ICir,73200.0,6400,2010,The Enemy of the People 2019,81
Badmaash Company 2010,Yash,,64400,2010,Badmaa$h Company 2010,95
Hadewijch 2010,IFC,5000.0,57500,2010,Hawi 2010,78
Alamar 2010,FM,61600.0,,2010,Alma 2010,90
As Good as Dead 2010,First,2000.0,53600,2010,As Good as Dead 2010,100
Inhale 2010,IFC,4100.0,51000,2010,Inhale 2010,100
Hatchet 2 2010,Vita.,52600.0,,2010,Hatchet II 2010,90
District B13: Ultimatum 2010,Magn.,36100.0,16200,2010,District of Corruption 2012,62
GasLand 2010,WOW,30800.0,18600,2010,GasLand 2010,100
Boogie Woogie 2010,IFC,2600.0,44900,2010,One Way Boogie Woogie 2012 2012,73
Come Undone (2010) 2010,FM,10000.0,31300,2010,Come Undone 2010,82
The Red Baron 2010,Mont.,37200.0,3100,2010,The Reason 2010,85
Bluebeard 2010,Strand,33500.0,5200,2010,Bluebeard 2012,93
Daddy Longlegs 2010,IFC,21800.0,11500,2010,Daddy Long Legs 2015,92
Living in Emergency 2010,Truly,32200.0,,2010,Living in Demmin 2017,76
Nenette 2010,Kino,18000.0,5400,2010,Nénette 2010,92
Picture Me 2010,Strand,12000.0,10400,2010,Picture 2015,81
The Thorn in the Heart 2010,Osci.,7400.0,10500,2010,The House in the Heart 2014,85
The Taqwacores 2010,Strand,11400.0,,2010,The Taqwacores 2010,100
Cherry 2010,Abr.,11400.0,,2010,Cherry 2010,100
Terkel in Trouble 2010,Indic.,10800.0,,2010,Teefa in Trouble 2018,84
Kimjongilia 2010,Lorb.,4400.0,,2010,Monga 2010,77
Aashayein (Wishes) 2010,Relbig.,,3800,2010,Aashayein 2010,76
Harry Potter and the Deathly Hallows Part 2 2011,WB,381000000.0,960500000,2011,Harry Potter and the Deathly Hallows: Part 2 2011,99
Transformers: Dark of the Moon 2011,P/DW,352400000.0,771400000,2011,Transformers: Dark of the Moon 2011,100
Pirates of the Caribbean: On Stranger Tides 2011,BV,241100000.0,804600000,2011,Pirates of the Caribbean: On Stranger Tides 2011,100
The Twilight Saga: Breaking Dawn Part 1 2011,Sum.,281300000.0,430900000,2011,The Twilight Saga: Breaking Dawn - Part 1 2011,98
Mission: Impossible - Ghost Protocol 2011,Par.,209400000.0,485300000,2011,Mission: Impossible - Ghost Protocol 2011,100
